budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,490.0,1.0,76.0,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.1339543300018704,1.0,2.0,0.987012987012987,98.7012987012987,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4076149529973918,1.0,2.0,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
5,aggregate_tpa_mcp_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
5,dpa_max_target_token_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
5,dpa_weakest_token_stability,radius_derived,77,75.0,0.974025974025974,20,,,,,,,,,,,,,,0.974025974025974,97.40259740259741,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,490.0,2.0,75.0,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2560057119990231,1.0,2.0,0.974025974025974,97.40259740259741,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4019403530001,1.0,2.0,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
7,aggregate_tpa_mcp_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
7,dpa_max_target_token_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
7,dpa_weakest_token_stability,radius_derived,77,75.0,0.974025974025974,20,,,,,,,,,,,,,,0.974025974025974,97.40259740259741,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
